df_id,lat,lon,manual_id,state,source,elev2,country,ownership,tot,n2,p
256,49.03891,-116.54995,26425,British Columbia,Synthetic data,532,Canada,Corporate/Other (Private),49,45,0.9183673469387755
257,49.03927,-116.58092,26426,British Columbia,Synthetic data,598,Canada,Corporate/Other (Private),52,36,0.6923076923076923
258,49.03941,-119.5588,46106,British Columbia,Defoliation surveys,849,Canada,State (Public),50,34,0.68
259,49.03965,-114.00474,64138,Alberta,Synthetic data,2181,Canada,State (Public),51,51,1
260,49.03969,-119.55823,48369,British Columbia,Defoliation surveys,847,Canada,State (Public),52,35,0.6730769230769231
261,49.03984,-119.58287,46107,British Columbia,Defoliation surveys,925,Canada,State (Public),49,45,0.9183673469387755
262,49.04027,-119.02733,70152,British Columbia,Synthetic data,833,Canada,Corporate/Other (Private),50,32,0.64
263,49.0406,-111.3686,65139,Alberta,Synthetic data,1004,Canada,Corporate/Other (Private),50,50,1
264,49.04122,-118.43274,5008,British Columbia,Pheromone trapping,598,Canada,State (Public),51,32,0.6274509803921569
265,49.04218,-108.18599,26429,Saskatchewan,Synthetic data,844,Canada,Corporate/Other (Private),48,46,0.9583333333333334
266,49.0426,-105.28687,26430,Saskatchewan,Synthetic data,789,Canada,Corporate/Other (Private),47,47,1
267,49.043,-119.556,50746,British Columbia,iNaturalist,851,Canada,State (Public),52,35,0.6730769230769231
268,49.0431,-119.5779,46108,British Columbia,Defoliation surveys,952,Canada,State (Public),50,41,0.82
269,49.04313,-119.55753,4018,British Columbia,Pheromone trapping,844,Canada,State (Public),51,35,0.6862745098039216
270,49.04448,-107.11025,74484,Saskatchewan,Synthetic data,874,Canada,State (Public),51,51,1
271,49.04462,-116.28093,71120,British Columbia,Synthetic data,1571,Canada,State (Public),50,50,1
272,49.04495,-119.73432,62090,British Columbia,Synthetic data,455,Canada,Tribal,50,26,0.52
273,49.045,-119.049,50248,British Columbia,iNaturalist,862,Canada,State (Public),51,39,0.7647058823529411
274,49.04537,-118.15656,26431,British Columbia,Synthetic data,1232,Canada,State (Public),51,42,0.8235294117647058
275,49.04562,-108.69617,26432,Saskatchewan,Synthetic data,922,Canada,Corporate/Other (Private),50,45,0.9
276,49.04588,-118.20373,5009,British Columbia,Pheromone trapping,463,Canada,State (Public),52,26,0.5
277,49.046,-119.05,50506,British Columbia,iNaturalist,863,Canada,State (Public),52,40,0.7692307692307693
278,49.04701,-124.37971,68216,British Columbia,Synthetic data,502,Canada,Corporate/Other (Private),48,48,1
279,49.04796,-104.057,26434,Saskatchewan,Synthetic data,698,Canada,Corporate/Other (Private),49,28,0.5714285714285714
280,49.04816,-105.95809,67050,Saskatchewan,Synthetic data,820,Canada,Corporate/Other (Private),52,52,1
281,49.04845,-118.67624,26435,British Columbia,Synthetic data,1097,Canada,State (Public),49,28,0.5714285714285714
