estimate,b1,b2,ci1,ci2,metric,thresh,lag_pr,lag_rh,lag_temp
0.9331213355858095,0.9280713336131342,0.9378362201598318,0.9282403762378146,0.9380022949338043,precision,0.42500000000000004,0,0,0
0.979080538373069,0.9774578702084177,0.9805872372107034,0.9775166409941057,0.9806444357520322,specificity,0.42500000000000004,0,0,0
0.8826432297786342,NA,NA,0.8783186138248209,0.8869678457324475,F1,0.42500000000000004,0,0,0
0.827358658819333,0.8202503121036316,0.8342397024876493,0.8203635398637592,0.8343537777749068,recall,0.45,0,0,0
0.9413852714071683,0.9391350736591051,0.9435562365609644,0.9391748587983362,0.9435956840160005,accuracy,0.45,0,0,0
0.9385938290338898,0.9336866324185384,0.9431555670030347,0.9338610896442529,0.9433265684235267,precision,0.45,0,0,0
0.9811320754716981,0.9795862066698937,0.982561478994707,0.979645285602397,0.9826188653409992,specificity,0.45,0,0,0
0.8794729608038295,NA,NA,0.8750797845732828,0.8838661370343762,F1,0.45,0,0,0
0.8191546281433922,0.8119205101331212,0.8261671394410065,0.8120308163101816,0.8262784399766029,recall,0.47500000000000003,0,0,0
0.9404402443240751,0.938173506843884,0.9426279188336155,0.938213202736673,0.9426672859114773,accuracy,0.47500000000000003,0,0,0
0.9429275302812564,0.938141945343483,0.9473591254925269,0.938320887889026,0.9475341726734868,precision,0.47500000000000003,0,0,0
0.9827173541388207,0.9812339217273311,0.9840839381469133,0.981293245177735,0.9841414630999064,specificity,0.47500000000000003,0,0,0
