thresh,false_positive,true_negative,true_positive,false_negative,TPR,FPR,diff,maximized,lag_pr,lag_rh,lag_temp,filenum
0.525,0.01768893586594957,0.9823110641340504,0.8055109684323167,0.19448903156768324,0.8055109684323167,0.01768893586594957,0.7878220325663672,0,10,10,10,lag101010
0.55,0.01622781111076569,0.9837721888892343,0.7952559300873908,0.20474406991260924,0.7952559300873908,0.01622781111076569,0.7790281189766252,0,10,10,10,lag101010
0.5750000000000001,0.01436254546585009,0.98563745453415,0.7820581416087035,0.2179418583912966,0.7820581416087035,0.01436254546585009,0.7676955961428533,0,10,10,10,lag101010
0.6000000000000001,0.01252836758168309,0.9874716324183168,0.7709113607990012,0.22908863920099876,0.7709113607990012,0.01252836758168309,0.7583829932173182,0,10,10,10,lag101010
0.625,0.01119159386949358,0.9888084061305064,0.7591403602639558,0.24085963973604424,0.7591403602639558,0.01119159386949358,0.7479487663944623,0,10,10,10,lag101010
0.65,0.0101346100040414,0.9898653899959586,0.7457642232923132,0.2542357767076868,0.7457642232923132,0.0101346100040414,0.7356296132882718,0,10,10,10,lag101010
0.675,0.0087667485311033,0.9912332514688968,0.7277510255038345,0.27224897449616553,0.7277510255038345,0.0087667485311033,0.7189842769727313,0,10,10,10,lag101010
0.7000000000000001,0.0078652034693941,0.992134796530606,0.7109862671660424,0.28901373283395754,0.7109862671660424,0.0078652034693941,0.7031210636966483,0,10,10,10,lag101010
0.7250000000000001,0.00671495632169614,0.9932850436783038,0.686641697877653,0.31335830212234705,0.686641697877653,0.00671495632169614,0.6799267415559568,0,10,10,10,lag101010
0.75,0.00584449902073553,0.9941555009792644,0.6629213483146067,0.33707865168539325,0.6629213483146067,0.00584449902073553,0.6570768492938711,0,10,10,10,lag101010
0.775,0.00494295395902633,0.9950570460409736,0.6375958623149635,0.36240413768503654,0.6375958623149635,0.00494295395902633,0.6326529083559371,0,10,10,10,lag101010
0.8,0.00410358441881431,0.9958964155811856,0.6096843231674692,0.3903156768325308,0.6096843231674692,0.00410358441881431,0.6055807387486549,0,10,10,10,lag101010
0.8250000000000001,0.00326421487860229,0.9967357851213976,0.5756197610130195,0.4243802389869806,0.5756197610130195,0.00326421487860229,0.5723555461344172,0,10,10,10,lag101010
0.8500000000000001,0.00261137190288183,0.997388628097118,0.5403959336543607,0.4596040663456394,0.5403959336543607,0.00261137190288183,0.5377845617514788,0,10,10,10,lag101010
0.875,0.00192744116641278,0.9980725588335873,0.4940253254859997,0.5059746745140004,0.4940253254859997,0.00192744116641278,0.4920978843195869,0,10,10,10,lag101010
0.9,0.00115024714769795,0.998849752852302,0.4441769217050116,0.5558230782949884,0.4441769217050116,0.00115024714769795,0.4430266745573137,0,10,10,10,lag101010
0.925,6.528429757204589e-4,0.9993471570242796,0.36079900124843944,0.6392009987515606,0.36079900124843944,6.528429757204589e-4,0.360146158272719,0,10,10,10,lag101010
0.95,3.7305312898311936e-4,0.9996269468710168,0.2461209202782237,0.7538790797217764,0.2461209202782237,3.7305312898311936e-4,0.24574786714924057,0,10,10,10,lag101010
