value,yhat,lb1,lb2,lb3,ub1,ub2,ub3,param,lag
54.409389475276,0.491684450143725,0.00825,0.0255,0.0465,0.997,0.98175,0.93025,mean_biomass,0
65.2912673703312,0.503600392447114,0.00735000000000002,0.028,0.052,0.9965,0.98575,0.94775,mean_biomass,0
76.1731452653864,0.517146750262492,0.00625,0.0315,0.057,0.99875,0.991,0.95875,mean_biomass,0
87.0550231604416,0.526257207773207,0.00575,0.04,0.06525,0.99925,0.99425,0.9625,mean_biomass,0
97.9369010554968,0.528220174879942,0.0055,0.04125,0.067,0.99925,0.9955,0.96275,mean_biomass,0
108.818778950552,0.528636005301479,0.00575,0.04175,0.067,0.9995,0.996,0.963,mean_biomass,0
119.700656845607,0.529734775461728,0.00575,0.043,0.0675,0.99925,0.99525,0.96375,mean_biomass,0
130.582534740662,0.53118197583352,0.00725,0.04525,0.0685,0.999,0.9945,0.9655,mean_biomass,0
141.464412635718,0.533280595383583,0.00925,0.048,0.06975,0.999,0.9945,0.96775,mean_biomass,0
152.346290530773,0.533607638948655,0.01,0.049,0.0705,0.99875,0.99375,0.96725,mean_biomass,0
163.228168425828,0.532741122605298,0.01225,0.05025,0.07125,0.997,0.98875,0.9635,mean_biomass,0
174.110046320883,0.531219976935126,0.01225,0.0505,0.0715,0.99525,0.98575,0.95925,mean_biomass,0
184.991924215938,0.530347203814311,0.01275,0.05075,0.07175,0.99475,0.98425,0.95875,mean_biomass,0
195.873802110994,0.527425456564022,0.01325,0.051,0.07175,0.99225,0.97625,0.94875,mean_biomass,0
206.755680006049,0.522675447957726,0.0141,0.05125,0.072,0.99025,0.96825,0.9335,mean_biomass,0
217.637557901104,0.50760949790867,0.01425,0.05175,0.0725,0.99025,0.9405,0.897,mean_biomass,0
228.519435796159,0.503735799610995,0.01425,0.05175,0.07225,0.9905,0.931,0.88775,mean_biomass,0
239.401313691214,0.497245365509407,0.01425,0.05175,0.07225,0.9955,0.9105,0.8735,mean_biomass,0
250.28319158627,0.488749406165551,0.014,0.05175,0.0725,0.9965,0.89685,0.85475,mean_biomass,0
261.165069481325,0.473054594041,0.01375,0.05175,0.07225,0.998,0.87475,0.81975,mean_biomass,0
272.04694737638,0.469740761140851,0.01325,0.05175,0.07225,0.9975,0.87125,0.81175,mean_biomass,0
282.928825271435,0.466786507909186,0.01325,0.05175,0.07225,0.9945,0.8685,0.80575,mean_biomass,0
293.81070316649,0.465522079453328,0.013,0.05175,0.0725,0.99025,0.867,0.804,mean_biomass,0
304.692581061545,0.461433030104825,0.013,0.05175,0.07225,0.9835,0.86325,0.79775,mean_biomass,0
315.574458956601,0.455337887498494,0.013,0.052,0.0725,0.978,0.85535,0.78625,mean_biomass,0
326.456336851656,0.452051233282269,0.01275,0.052,0.0725,0.97125,0.85275,0.78075,mean_biomass,0
337.338214746711,0.452074930719314,0.01275,0.052,0.0725,0.972,0.85275,0.78075,mean_biomass,0
348.220092641766,0.452076075356731,0.01275,0.052,0.0725,0.97175,0.85275,0.78075,mean_biomass,0
359.101970536821,0.451812873298105,0.01275,0.052,0.0725,0.971,0.85275,0.7805,mean_biomass,0
369.983848431877,0.451762560889547,0.01275,0.052,0.0725,0.97025,0.85275,0.78025,mean_biomass,0
380.865726326932,0.451606162968828,0.01275,0.052,0.07275,0.96975,0.8525,0.78,mean_biomass,0
391.747604221987,0.451496054013116,0.01275,0.052,0.07275,0.969,0.85235,0.78,mean_biomass,0
402.629482117042,0.451419294455824,0.01285,0.052,0.07275,0.968,0.85225,0.77975,mean_biomass,0
413.511360012097,0.451417530165069,0.013,0.052,0.07275,0.968,0.85225,0.77975,mean_biomass,0
424.393237907153,0.451485580150438,0.013,0.052,0.07275,0.968,0.85225,0.78,mean_biomass,0
435.275115802208,0.451545170146479,0.013,0.052,0.07275,0.968,0.85225,0.78025,mean_biomass,0
446.156993697263,0.451539722360879,0.013,0.052,0.07275,0.96775,0.85225,0.78,mean_biomass,0
457.038871592318,0.451505426269859,0.0131,0.052,0.07275,0.96675,0.85225,0.78025,mean_biomass,0
467.920749487373,0.451420103447682,0.01325,0.05225,0.07275,0.966,0.852,0.78025,mean_biomass,0
478.802627382429,0.452420538065649,0.01375,0.05225,0.07275,0.96525,0.8525,0.78175,mean_biomass,0
