metric,estimate,ci1,ci2,b1,b2,thresh,lag_pr,lag_rh,lag_temp,lag
accuracy,0.9317935596892792,0.9294212639693792,0.9341658554091794,0.9293823793214322,0.9341272255384744,0.225,3,3,3,3
precision,0.833319874020835,0.8267555363269543,0.8398842117147156,0.8266510652049713,0.8397790843146304,0.225,3,3,3,3
specificity,0.9358388510677982,0.9331610772397884,0.938516624895808,0.9331080785252084,0.9384641114013296,0.225,3,3,3,3
F1,0.8746027037335253,NA,NA,NA,NA,0.225,3,3,3,3
brier,0.04756440867390452,NA,NA,NA,NA,0.225,3,3,3,3
log-likelihood,-7332.95871123875,NA,NA,NA,NA,0.225,3,3,3,3
AUC,0.9787918355107554,0.97745734552355,0.9801263254979607,NA,NA,0.225,33,33,33,33
recall,0.9264312466559658,0.9215992225622528,0.9312632707496789,0.9214501095663028,0.9311162962501128,0.225,33,33,33,33
accuracy,0.9356796676667436,0.9333697342435456,0.9379896010899416,0.9333304367600468,0.9379505908264976,0.225,33,33,33,33
precision,0.8411464658732086,0.8346997391116703,0.847593192634747,0.8345924629539254,0.8474853932596492,0.225,33,33,33,33
specificity,0.9389089550379872,0.9362895909783012,0.9415283190976734,0.9362361116316764,0.941475367752762,0.225,33,33,33,33
F1,0.8817313812858051,NA,NA,NA,NA,0.225,33,33,33,33
brier,0.05054169033579506,NA,NA,NA,NA,0.225,33,33,33,33
log-likelihood,-7703.166534331717,NA,NA,NA,NA,0.225,33,33,33,33
AUC,0.9797296322171436,0.9784236098209886,0.981035654613299,NA,NA,0.25,34,34,34,34
recall,0.9225967540574282,0.917650671702322,0.9275428364125344,0.9175029859280476,0.9273970965146884,0.25,34,34,34,34
accuracy,0.9397276084949217,0.9374864526757192,0.9419687643141238,0.9374467643880972,0.9419293991133614,0.25,34,34,34,34
precision,0.855819339895773,0.849557449877074,0.8620812299144719,0.8494429815453421,0.8619665121274869,0.25,34,34,34,34
specificity,0.94571108204074,0.9432325313657391,0.948189632715741,0.9431781596757968,0.9481358908521808,0.25,34,34,34,34
F1,0.8879543406428356,NA,NA,NA,NA,0.25,34,34,34,34
brier,0.04854503882300323,NA,NA,NA,NA,0.25,34,34,34,34
log-likelihood,-7457.893279722196,NA,NA,NA,NA,0.25,34,34,34,34
AUC,0.9806455764246714,0.979388927382088,0.9819022254672548,NA,NA,0.25,35,35,35,35
recall,0.9242018904940252,0.9193031051628852,0.9291006758251654,0.9191548226602178,0.9289544183951056,0.25,35,35,35,35
accuracy,0.9407686441265511,0.938544438887038,0.9429928493660646,0.9385046070092714,0.9429533508935656,0.25,35,35,35,35
precision,0.8581601391073942,0.8519377114587504,0.864382566756038,0.851822350316263,0.8642670049620322,0.25,35,35,35,35
specificity,0.9465639329943538,0.9441019397785024,0.9490259262102052,0.94404737417513,0.9489720058708928,0.25,35,35,35,35
F1,0.8899574943111073,NA,NA,NA,NA,0.25,35,35,35,35
brier,0.04740019519424095,NA,NA,NA,NA,0.25,35,35,35,35
log-likelihood,-7264.981929713504,NA,NA,NA,NA,0.25,35,35,35,35
AUC,0.980727907590189,0.9794730162461808,0.9819827989341972,NA,NA,0.225,36,36,36,36
recall,0.9325842696629212,0.9279433883670268,0.937225150958816,0.9277919717946193,0.93707620891056,0.225,36,36,36,36
accuracy,0.9366319243835364,0.9343364241420072,0.9389274246250652,0.9342969831496016,0.9388882797319504,0.225,36,36,36,36
precision,0.8404050144648023,0.8339702892088117,0.846839739720793,0.8338640529565597,0.8467329713451962,0.225,36,36,36,36
specificity,0.9380478522631562,0.9354088770386768,0.9406868274876355,0.9353554094754046,0.940633877663681,0.225,36,36,36,36
F1,0.8840984022318031,NA,NA,NA,NA,0.225,36,36,36,36
brier,0.04727241683951145,NA,NA,NA,NA,0.225,36,36,36,36
log-likelihood,-7218.597374914202,NA,NA,NA,NA,0.225,36,36,36,36
AUC,0.9803817966146702,0.9790965121728012,0.9816670810565392,NA,NA,0.225,37,37,37,37
recall,0.930800784733369,0.9261034149411586,0.9354981545255796,0.9259526679213804,0.9353497809074646,0.225,37,37,37,37
accuracy,0.9380072606192336,0.9357345110083432,0.9402800102301242,0.9356949181995206,0.9402407258945714,0.225,37,37,37,37
precision,0.8456615085473548,0.8392879627010116,0.852035054393698,0.8391791520262479,0.851925801931104,0.225,37,37,37,37
specificity,0.9405300783566948,0.937940122916928,0.9431200337964613,0.9378862960204392,0.9430667601891208,0.225,37,37,37,37
F1,0.8861909411215351,NA,NA,NA,NA,0.225,37,37,37,37
brier,0.04761719407849099,NA,NA,NA,NA,0.225,37,37,37,37
log-likelihood,-7262.121090203922,NA,NA,NA,NA,0.225,37,37,37,37
AUC,0.9802288260736808,0.9789447607135356,0.981512891433826,NA,NA,0.225,38,38,38,38
recall,0.9241127162475478,0.9192112866063192,0.9290141458887764,0.9190630372815484,0.928867917183859,0.225,38,38,38,38
accuracy,0.9392376370449184,0.9369857405073632,0.9414895335824736,0.9369460194078584,0.941450132207724,0.225,38,38,38,38
precision,0.8536947030233133,0.8474076672134332,0.8599817388331934,0.8472943734998322,0.8598681529919923,0.225,38,38,38,38
specificity,0.9445346658338538,0.9420276032499856,0.947041728417722,0.9419732373906556,0.9469879764583058,0.225,38,38,38,38
F1,0.8875090994733011,NA,NA,NA,NA,0.225,38,38,38,38
brier,0.04906228296161586,NA,NA,NA,NA,0.225,38,38,38,38
log-likelihood,-7392.254671465576,NA,NA,NA,NA,0.225,38,38,38,38
AUC,0.9794614783833464,0.9781507270519364,0.980772229714756,NA,NA,0.2,39,39,39,39
recall,0.9297306937756376,0.9249998651854472,0.9344615223658278,0.924849519146595,0.934313490566508,0.2,39,39,39,39
accuracy,0.933408917374303,0.9310584040089062,0.9357594307396998,0.9310192193673636,0.9357205156837152,0.2,39,39,39,39
precision,0.8330137424097156,0.8264795827363676,0.8395479020830636,0.8263763187735648,0.8394439847081575,0.2,39,39,39,39
specificity,0.9346977034838306,0.931990960805463,0.9374044461621984,0.9319378359213764,0.9373517958733628,0.2,39,39,39,39
F1,0.8787189211967972,NA,NA,NA,NA,0.2,39,39,39,39
brier,0.04960450310916495,NA,NA,NA,NA,0.2,39,39,39,39
log-likelihood,-7452.993666314526,NA,NA,NA,NA,0.2,39,39,39,39
AUC,0.9794168225599292,0.9780984229785362,0.9807352221413224,NA,NA,0.2,40,40,40,40
recall,0.9314250044587123,0.9267473015453848,0.93610270737204,0.9265963203634372,0.9359541346196824,0.2,40,40,40,40
