metric,estimate,ci1,ci2,b1,b2,thresh,lag_pr,lag_rh,lag_temp,lag
specificity,0.930961562383381,0.9281905630986812,0.9337325616680808,0.928138163945806,0.93368058705563,0.2,27,27,27,27
F1,0.8715665686686266,NA,NA,NA,NA,0.2,27,27,27,27
brier,0.04866036968814849,NA,NA,NA,NA,0.2,27,27,27,27
log-likelihood,-7464.753787324185,NA,NA,NA,NA,0.2,27,27,27,27
AUC,0.9784152823912524,0.9770562209321022,0.9797743438504032,NA,NA,0.225,28,28,28,28
recall,0.9213483146067416,0.9163658785357648,0.9263307506777184,0.9162186562085431,0.926185413988295,0.225,28,28,28,28
accuracy,0.934349490384172,0.9320184214534608,0.9366805593148828,0.9319792816902358,0.9366416951966284,0.225,28,28,28,28
precision,0.8402049280312271,0.833728570922372,0.8466812851400823,0.8336211303335328,0.8465733021430504,0.225,28,28,28,28
specificity,0.93888405075889525,0.9362656547138984,0.941502446803892,0.936212238630714,0.9414495573828564,0.225,28,28,28,28
F1,0.8789077453107057,NA,NA,NA,NA,0.225,28,28,28,28
brier,0.0483536245791634,NA,NA,NA,NA,0.225,28,28,28,28
log-likelihood,-7423.197986084378,NA,NA,NA,NA,0.225,28,28,28,28
AUC,0.9787408873766712,0.9773864253087904,0.980095349444552,NA,NA,0.225,29,29,29,29
recall,0.920545746388443,0.9155401358142754,0.9255513569626106,0.9153932111163158,0.925406279783263,0.225,29,29,29,29
accuracy,0.9351535836177476,0.9328357841168252,0.9374713831186696,0.932796566990162,0.9374324483663252,0.225,29,29,29,29
precision,0.8431068278340411,0.8366645754326016,0.8495490802354806,0.8365557210247677,0.8494397333821997,0.225,29,29,29,29
specificity,0.940248833592535,0.937657876754913,0.942839790430157,0.9376042824675542,0.9427867420488724,0.225,29,29,29,29
F1,0.8801261829652997,NA,NA,NA,NA,0.225,29,29,29,29
brier,0.04822701162542662,NA,NA,NA,NA,0.225,29,29,29,29
log-likelihood,-7400.082638174841,NA,NA,NA,NA,0.225,29,29,29,29
AUC,0.9785460448804338,0.9771797005544006,0.9799123892064672,NA,NA,0.225,30,30,30,30
recall,0.9225075798109506,0.9175588883271808,0.9274562712947202,0.917411235675531,0.9273105601779756,0.225,30,30,30,30
accuracy,0.9344371929986394,0.9321074917162784,0.9367668942810004,0.9320683409992842,0.9367280199702244,0.225,30,30,30,30
precision,0.8397597207565549,0.8332818584830779,0.8462375830300319,0.8331747543261441,0.8461299296209285,0.225,30,30,30,30
specificity,0.9385984011944384,0.9359741700711364,0.9412226323177404,0.9359207855561014,0.9411697705967508,0.225,30,30,30,30
F1,0.8791909233841838,NA,NA,NA,NA,0.225,30,30,30,30
brier,0.04895002161549016,NA,NA,NA,NA,0.225,30,30,30,30
log-likelihood,-7504.174728887877,NA,NA,NA,NA,0.225,30,30,30,30
AUC,0.9781106706395016,0.9767388965688978,0.9794824447101056,NA,NA,0.225,31,31,31,31
recall,0.9214374888532192,0.9164576371193676,0.9264173405870708,0.91631038170785,0.9262719750777476,0.225,31,31,31,31
accuracy,0.9343282893522792,0.931996494086738,0.9366600846178202,0.9319573436406664,0.9366212098023388,0.225,31,31,31,31
precision,0.8401496056589967,0.8336728674888848,0.8466263438291085,0.8335654623674614,0.8465183954111071,0.225,31,31,31,31
specificity,0.9388263115315204,0.9362061889627232,0.9414464341003173,0.936152756929782,0.9413935283147848,0.225,31,31,31,31
F1,0.8789180453366223,NA,NA,NA,NA,0.225,31,31,31,31
brier,0.05004571765143476,NA,NA,NA,NA,0.225,31,31,31,31
log-likelihood,-7699.340662850311,NA,NA,NA,NA,0.225,31,31,31,31
AUC,0.9780197692380844,0.9766712081056836,0.9793683303704854,NA,NA,0.225,32,32,32,32
recall,0.9204565721419654,0.9154483959622056,0.9254647483217252,0.91530150431992,0.9253196999912472,0.225,32,32,32,32
accuracy,0.9335163440909824,0.9311711168006048,0.93586157138136,0.9311320399051348,0.9358227634769444,0.225,32,32,32,32
precision,0.8383690708252112,0.8318667015968478,0.8448714400535745,0.8317599885283298,0.8447641529652117,0.225,32,32,32,32
specificity,0.938073751361444,0.9354384954434976,0.9407090072793902,0.9353851547624812,0.940656182572707,0.225,32,32,32,32
F1,0.8774972370993793,NA,NA,NA,NA,0.225,32,32,32,32
brier,0.05111466771580659,NA,NA,NA,NA,0.225,32,32,32,32
log-likelihood,-7777.204522771385,NA,NA,NA,NA,0.225,32,32,32,32
AUC,0.9776778571045752,0.9762751662944154,0.9790805479147348,NA,NA,0.225,3,3,3,3
recall,0.9201890494025324,0.9151731875384423,0.9252049112666226,0.915026395046273,0.9250599494998636,0.225,3,3,3,3
