lat,lon,manual_id,modis_id,source,classification,short,total,Temperate or sub-polar grassland,Tropical or sub-tropical shrubland,Temperate or sub-polar needleleaf forest,Temperate or sub-polar shrubland,Cropland,Urban and Built-up,Barren Lands,Wetland,Temperate or sub-polar broadleaf deciduous forest,Water,Tropical or sub-tropical grassland,Snow and Ice,No data,Mixed Forest,Sub-polar or polar grassland-lichen-moss,Sub-polar or polar barren-lichen-moss,near_needle
48.02462772693252,-116.52063426596578,25231,18,Synthetic data,Water,water,1260,NA,NA,0.43253968253968256,0.08571428571428572,NA,NA,NA,NA,NA,0.48174603174603176,NA,NA,NA,NA,NA,NA,TRUE
48.03828987639418,-118.6217001680348,43877,8,Defoliation surveys,Temperate or sub-polar shrubland,temperature_shrub,1254,0.008771929824561403,NA,0.423444976076555,0.5645933014354066,NA,NA,NA,NA,NA,0.003189792663476874,NA,NA,NA,NA,NA,NA,TRUE
48.05410727503477,-110.17750109313056,25269,10,Synthetic data,Temperate or sub-polar grassland,temperature_grass,1257,0.781225139220366,NA,NA,0.02386634844868735,0.1949085123309467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
48.06194,-120.06722,344,8,Pheromone trapping,Temperate or sub-polar shrubland,temperature_shrub,1255,0.027888446215139442,NA,0.5354581673306773,0.4366533864541833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
48.07147,-118.79486,646,8,Pheromone trapping,Temperate or sub-polar shrubland,temperature_shrub,1261,0.052339413164155434,NA,0.24028548770816813,0.7073750991276765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
48.07853746428849,-114.54031238738511,45750,1,Defoliation surveys,Temperate or sub-polar needleleaf forest,needleleaf,1254,0.001594896331738437,NA,0.6347687400318979,0.3237639553429027,0.03987240829346093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
48.08445406897226,-126.44234733533813,25310,0,Synthetic data,No data,no_data,1258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,FALSE
48.09076120285317,-116.00546305213356,25315,8,Synthetic data,Temperate or sub-polar shrubland,temperature_shrub,1258,0.009538950715421303,NA,0.6637519872813991,0.31319554848966613,0.006359300476947536,NA,NA,NA,NA,0.007154213036565978,NA,NA,NA,NA,NA,NA,TRUE
48.09285275300499,-123.4877903642482,25319,1,Synthetic data,Temperate or sub-polar needleleaf forest,needleleaf,1258,NA,NA,0.43084260731319557,0.06597774244833068,0.06915739268680444,0.2933227344992051,NA,0.029411764705882353,0.00794912559618442,NA,NA,NA,0.03259141494435612,0.07074721780604133,NA,NA,TRUE
48.10456287767738,-124.68914474186022,25333,1,Synthetic data,Temperate or sub-polar needleleaf forest,needleleaf,1259,NA,NA,0.3200953137410643,NA,NA,NA,NA,0.027005559968228753,NA,0.2255758538522637,NA,NA,0.4233518665607625,0.003971405877680699,NA,NA,TRUE
