elev2,lat,lon
1356,53.58095827,-127.8846422
1559,46.0920025,-117.7489192
1064,47.18830089,-114.1280945
708,47.24408846,-115.9975734
976,47.2554015,-117.0827073
907,48.95113746,-119.5713294
1643,42.00005898,-116.4668417
2269,42.50847568,-111.9469883
691,47.83697956,-119.1222807
1028,45.58509889,-118.2782394
1572,44.97606,-117.53683
1147,47.11506593,-116.969661
1373,47.09109085,-109.3261408
1133,36.10975933,-115.7800499
412,33.73633866,-115.038765
896,47.28240606,-116.701764
992,51.049999,-121.666672
1645,43.75340042,-118.8292562
1390,53.06173099,-121.644781
1460,39.06176796,-119.8024448
1586,46.02283251,-117.7537034
1653,37.8427943,-118.5022638
1943,39.054,-120.123
1282,40.99891448,-112.7791485
2173,36.30987666,-105.8735599
439,46.19879811,-119.5455564
1021,46.22453977,-114.7158583
879,53.55767436,-115.469513
1508,44.51335519,-114.164721
1001,49.25118143,-110.5715415
2177,39.18767879,-104.6871547
949,49.56657524,-112.4521282
1358,47.08018207,-115.8410583
1087,47.10897,-120.95277
971,46.679,-114.041
298,45.98724218,-122.4247015
1411,51.47645993,-122.753091
2084,36.636,-118.808
1829,50.61543292,-116.7315506
1536,52.71659917,-116.8031775
1065,50.90775913,-121.4949046
1987,38.86044317,-104.5522067
1702,37.344453,-119.506744
2021,50.37488185,-121.9600265
1797,43.92367,-119.40054
673,51.56295725,-108.4002959
576,38.64022906,-122.6198045
876,50.77924433,-120.5375514
807,49.38654598,-120.1609416
1137,49.74087921,-109.0768685
937,46.17922026,-106.6267585
2282,34.74224871,-106.3875501
1151,45.96885836,-118.0219991
1860,42.38351234,-112.7471695
1062,51.0593756,-114.019706
1881,43.48965732,-115.3681293
2152,33.45377701,-109.6258807
1454,53.79721027,-120.2906129
639,53.74184688,-109.6244568
1007,44.94253,-117.01232
2290,41.3626423,-107.3763734
564,51.5214876,-106.5376878
834,48.63462092,-108.7092804
1395,50.63538375,-120.6542872
1548,44.21635985,-116.0158245
1079,45.87525062,-118.0828153
1845,45.12550901,-117.2974161
806,48.05410728,-110.1775011
2121,41.87696544,-105.6806201
1158,48.07853746,-114.5403124
2324,41.16929638,-105.2662449
851,50.31436104,-112.6084604
827,52.34961273,-112.8107081
1032,53.316735,-116.0283241
2150,36.583,-118.752
1138,47.74579407,-114.5362258
1890,44.06934,-118.78682
512,53.54636491,-105.2133557
NA,34.82751056,-120.7484334
1665,50.80600935,-117.880565
1916,41.57084689,-114.098745
594,52.58807182,-107.7543552
1233,53.61371788,-122.3522181
946,48.54269151,-117.5838151
2371,45.14812162,-117.1223993
588,36.46364697,-121.0445932
1080,48.40301036,-120.2978151
1462,46.91910268,-109.2667251
1991,50.31963073,-117.370496
1567,40.60502365,-120.3775018
2192,43.68260342,-115.1799122
2083,39.245629,-105.26326
1006,50.49359589,-113.6588157
1777,35.27185405,-109.9056929
1056,36.11081447,-117.4007057
2199,41.23270395,-105.7549303
729,49.08342122,-119.5855322
73,49.35727766,-121.4726136
1434,46.64416137,-113.326707
1859,43.66815902,-115.6207706
1001,53.09265275,-122.9148534
2873,43.4069424,-110.3164684
1701,39.57950889,-105.0765028
1187,47.14922252,-109.8351721
2357,40.43775082,-109.0407956
1800,44.09766,-119.10747
1316,45.76640763,-118.1452776
1733,44.44046352,-115.8296325
1507,44.52983959,-121.861818
1842,46.12105255,-117.6985702
2731,38.02838648,-111.4533942
1058,51.030549,-121.542217
894,44.32444948,-120.8288509
462,38.89248289,-122.1672322
1858,35.39350528,-105.9025287
3008,42.7475601,-108.9263079
1960,40.31276548,-120.7525772
2042,41.44211597,-110.3628827
568,50.88853969,-104.5829619
256,37.60640401,-120.2673343
2253,34.46897527,-111.0778996
904,48.2514449,-108.7964312
1140,46.47149,-120.97473
1088,50.68263682,-121.2228442
922,48.24756,-119.14069
NA,37.8695339,-123.2587527
2150,49.15964341,-114.1429091
1313,48.07147,-118.79486
1669,50.08411043,-117.3492163
NA,37.70720106,-123.6853704
1228,53.4465817,-120.7475689
1134,47.04891,-121.24813
1794,42.35004944,-119.7354736
87,45.83300728,-119.7941959
1012,51.79536995,-121.7531941
NA,39.03668994,-124.4283617
931,45.34784,-118.16881
NA,44.46090391,-124.0883698
206,33.10060437,-113.226677
1705,38.58970147,-104.2023193
983,40.02910418,-121.6891598
1789,41.80480909,-119.1469182
1357,46.77326863,-114.0232669
698,50.99459413,-107.6155599
1819,35.38586782,-111.3902438
1947,39.73186878,-116.4350622
2161,39.20721467,-104.9564574
606,47.49244999,-104.3222582
2165,36.73608186,-110.5629298
1620,46.08087961,-117.6868756
2319,39.397,-105.076
862,50.79455021,-119.0427356
1297,45.40478745,-118.1541924
2330,42.46313235,-111.5915537
2386,39.34691,-105.256037
