id,left,top,right,bottom,row_index,col_index,acres2,_count,_sum,_mean
2204,-105.375000000000000,49.375000000000000,-105.125000000000000,49.125000000000000,19,91,125050,8078,0,0
2205,-105.375000000000000,49.125000000000000,-105.125000000000000,48.875000000000000,20,91,125675,4168,0,0
2206,-105.375000000000000,48.875000000000000,-105.125000000000000,48.625000000000000,21,91,126297,0,0,
2207,-105.375000000000000,48.625000000000000,-105.125000000000000,48.375000000000000,22,91,126917,0,0,
2208,-105.375000000000000,48.375000000000000,-105.125000000000000,48.125000000000000,23,91,127534,0,0,
2209,-105.125000000000000,54.125000000000000,-104.875000000000000,53.875000000000000,0,92,112725,7064,0,0
2210,-105.125000000000000,53.875000000000000,-104.875000000000000,53.625000000000000,1,92,113394,7113,0,0
2211,-105.125000000000000,53.625000000000000,-104.875000000000000,53.375000000000000,2,92,114062,7164,0,0
2212,-105.125000000000000,53.375000000000000,-104.875000000000000,53.125000000000000,3,92,114727,7218,0,0
2213,-105.125000000000000,53.125000000000000,-104.875000000000000,52.875000000000000,4,92,115389,7270,0,0
2214,-105.125000000000000,52.875000000000000,-104.875000000000000,52.625000000000000,5,92,116050,7322,0,0
2215,-105.125000000000000,52.625000000000000,-104.875000000000000,52.375000000000000,6,92,116708,7376,0,0
2216,-105.125000000000000,52.375000000000000,-104.875000000000000,52.125000000000000,7,92,117364,7428,0,0
2217,-105.125000000000000,52.125000000000000,-104.875000000000000,51.875000000000000,8,92,118018,7479,0,0
2218,-105.125000000000000,51.875000000000000,-104.875000000000000,51.625000000000000,9,92,118669,7537,0,0
2219,-105.125000000000000,51.625000000000000,-104.875000000000000,51.375000000000000,10,92,119318,7588,0,0
2220,-105.125000000000000,51.375000000000000,-104.875000000000000,51.125000000000000,11,92,119964,7643,0,0
2221,-105.125000000000000,51.125000000000000,-104.875000000000000,50.875000000000000,12,92,120608,7695,0,0
2222,-105.125000000000000,50.875000000000000,-104.875000000000000,50.625000000000000,13,92,121250,7752,0,0
2223,-105.125000000000000,50.625000000000000,-104.875000000000000,50.375000000000000,14,92,121889,7804,0,0
2224,-105.125000000000000,50.375000000000000,-104.875000000000000,50.125000000000000,15,92,122526,7860,0,0
2225,-105.125000000000000,50.125000000000000,-104.875000000000000,49.875000000000000,16,92,123161,7915,0,0
2226,-105.125000000000000,49.875000000000000,-104.875000000000000,49.625000000000000,17,92,123793,7970,0,0
2227,-105.125000000000000,49.625000000000000,-104.875000000000000,49.375000000000000,18,92,124423,8025,0,0
2228,-105.125000000000000,49.375000000000000,-104.875000000000000,49.125000000000000,19,92,125050,8084,0,0
2229,-105.125000000000000,49.125000000000000,-104.875000000000000,48.875000000000000,20,92,125675,4166,0,0
2230,-105.125000000000000,48.875000000000000,-104.875000000000000,48.625000000000000,21,92,126297,0,0,
2231,-105.125000000000000,48.625000000000000,-104.875000000000000,48.375000000000000,22,92,126917,0,0,
2232,-105.125000000000000,48.375000000000000,-104.875000000000000,48.125000000000000,23,92,127534,0,0,
2233,-104.875000000000000,54.125000000000000,-104.625000000000000,53.875000000000000,0,93,112725,7060,0,0
2234,-104.875000000000000,53.875000000000000,-104.625000000000000,53.625000000000000,1,93,113394,7115,0,0
2235,-104.875000000000000,53.625000000000000,-104.625000000000000,53.375000000000000,2,93,114062,7166,0,0
2236,-104.875000000000000,53.375000000000000,-104.625000000000000,53.125000000000000,3,93,114727,7218,0,0
2237,-104.875000000000000,53.125000000000000,-104.625000000000000,52.875000000000000,4,93,115389,7268,0,0
2238,-104.875000000000000,52.875000000000000,-104.625000000000000,52.625000000000000,5,93,116050,7323,0,0
2239,-104.875000000000000,52.625000000000000,-104.625000000000000,52.375000000000000,6,93,116708,7374,0,0
2240,-104.875000000000000,52.375000000000000,-104.625000000000000,52.125000000000000,7,93,117364,7428,0,0
2241,-104.875000000000000,52.125000000000000,-104.625000000000000,51.875000000000000,8,93,118018,7484,0,0
2242,-104.875000000000000,51.875000000000000,-104.625000000000000,51.625000000000000,9,93,118669,7534,0,0
2243,-104.875000000000000,51.625000000000000,-104.625000000000000,51.375000000000000,10,93,119318,7588,0,0
2244,-104.875000000000000,51.375000000000000,-104.625000000000000,51.125000000000000,11,93,119964,7641,0,0
2245,-104.875000000000000,51.125000000000000,-104.625000000000000,50.875000000000000,12,93,120608,7697,0,0
2246,-104.875000000000000,50.875000000000000,-104.625000000000000,50.625000000000000,13,93,121250,7750,0,0
2247,-104.875000000000000,50.625000000000000,-104.625000000000000,50.375000000000000,14,93,121889,7806,0,0
2248,-104.875000000000000,50.375000000000000,-104.625000000000000,50.125000000000000,15,93,122526,7859,0,0
2249,-104.875000000000000,50.125000000000000,-104.625000000000000,49.875000000000000,16,93,123161,7915,0,0
2250,-104.875000000000000,49.875000000000000,-104.625000000000000,49.625000000000000,17,93,123793,7969,0,0
2251,-104.875000000000000,49.625000000000000,-104.625000000000000,49.375000000000000,18,93,124423,8025,0,0
2252,-104.875000000000000,49.375000000000000,-104.625000000000000,49.125000000000000,19,93,125050,8083,0,0
