lat,lon,total_acres,pseu_acres,abies_acres
49.75,-113.5,15.530422782586417,15.530422782586417,0
49.5,-113.5,0,0,0
49.25,-113.5,15.474569978962863,15.474569978962863,0
54,-113.25,0,0,0
53.75,-113.25,0,0,0
53.5,-113.25,0,0,0
53.25,-113.25,0,0,0
53,-113.25,0,0,0
52.75,-113.25,0,0,0
52.5,-113.25,0,0,0
52.25,-113.25,0,0,0
52,-113.25,0,0,0
51.75,-113.25,0,0,0
51.5,-113.25,0,0,0
51.25,-113.25,0,0,0
51,-113.25,78.36777128005185,78.36777128005185,0
50.75,-113.25,156.43142820281307,156.43142820281307,0
50.5,-113.25,0,0,0
50.25,-113.25,0,0,0
50,-113.25,0,0,0
49.75,-113.25,0,0,0
49.5,-113.25,0,0,0
49.25,-113.25,46.42945544554439,46.42945544554439,0
54,-113,0,0,0
53.75,-113,0,0,0
53.5,-113,0,0,0
53.25,-113,0,0,0
53,-113,0,0,0
52.75,-113,0,0,0
52.5,-113,0,0,0
52.25,-113,0,0,0
52,-113,173.50948944132537,173.50948944132537,0
54,-126.5,16915.13306908269,351.0687995469994,16580.021942242354
51.75,-113,31.493895966028752,31.493895966028752,0
51.5,-113,47.167479246277466,47.167479246277466,0
51.25,-113,15.697984820727177,15.697984820727177,0
51,-113,94.01688969728431,94.01688969728431,0
50.75,-113,375.3869969040245,375.3869969040245,0
50.5,-113,46.84435049961478,46.84435049961478,0
50.25,-113,0,0,0
50,-113,0,0,0
49.75,-113,46.602961475717805,46.602961475717805,0
49.5,-113,15.502491901320088,15.502491901320088,0
53.75,-126.5,36474.830873049395,223.18515394348393,36363.23829607758
49.25,-113,46.41222318446102,46.41222318446102,0
54,-112.75,0,0,0
53.75,-112.75,0,0,0
53.5,-112.75,0,0,0
53.25,-112.75,0,0,0
53,-112.75,0,0,0
53.5,-126.5,71812.0979762736,238.78995115143059,71812.0979762736
52.75,-112.75,0,0,0
52.5,-112.75,0,0,0
52.25,-112.75,0,0,0
52,-112.75,0,0,0
51.75,-112.75,0,0,0
51.5,-112.75,172.9018574627849,172.9018574627849,0
51.25,-112.75,109.90027483313592,109.90027483313592,0
51,-112.75,78.33723044946629,78.33723044946629,0
50.75,-112.75,250.3225806451615,250.3225806451615,0
50.5,-112.75,31.24157375368374,31.24157375368374,0
53.25,-126.5,40197.36533665833,365.5750900526464,40133.787060127426
50.25,-112.75,46.765648854960965,46.765648854960965,0
