id,left,top,right,bottom,row_index,col_index,acres2,_count,_sum,_mean
56,-127.625000000000000,52.375000000000000,-127.375000000000000,52.125000000000000,7,2,117364,5383,2874,0.533903028051273
57,-127.625000000000000,52.125000000000000,-127.375000000000000,51.875000000000000,8,2,118018,6859,2954,0.430675025513923
58,-127.625000000000000,51.875000000000000,-127.375000000000000,51.625000000000000,9,2,118669,6387,2353,0.368404571786441
59,-127.625000000000000,51.625000000000000,-127.375000000000000,51.375000000000000,10,2,119318,6151,1795,0.2918224678914
60,-127.625000000000000,51.375000000000000,-127.375000000000000,51.125000000000000,11,2,119964,6114,863,0.141151455675499
61,-127.625000000000000,51.125000000000000,-127.375000000000000,50.875000000000000,12,2,120608,3693,163,0.0441375575412943
62,-127.625000000000000,50.875000000000000,-127.375000000000000,50.625000000000000,13,2,121250,4220,282,0.066824644549763
63,-127.625000000000000,50.625000000000000,-127.375000000000000,50.375000000000000,14,2,121889,6693,2775,0.414612281488122
64,-127.625000000000000,50.375000000000000,-127.375000000000000,50.125000000000000,15,2,122526,7568,4829,0.638081395348837
65,-127.625000000000000,50.125000000000000,-127.375000000000000,49.875000000000000,16,2,123161,1270,448,0.352755905511811
66,-127.625000000000000,49.875000000000000,-127.375000000000000,49.625000000000000,17,2,123793,0,0,
67,-127.625000000000000,49.625000000000000,-127.375000000000000,49.375000000000000,18,2,124423,0,0,
68,-127.625000000000000,49.375000000000000,-127.375000000000000,49.125000000000000,19,2,125050,0,0,
69,-127.625000000000000,49.125000000000000,-127.375000000000000,48.875000000000000,20,2,125675,0,0,
70,-127.625000000000000,48.875000000000000,-127.375000000000000,48.625000000000000,21,2,126297,0,0,
71,-127.625000000000000,48.625000000000000,-127.375000000000000,48.375000000000000,22,2,126917,0,0,
72,-127.625000000000000,48.375000000000000,-127.375000000000000,48.125000000000000,23,2,127534,0,0,
73,-127.375000000000000,54.125000000000000,-127.125000000000000,53.875000000000000,0,3,112725,7061,4321,0.611952981164141
74,-127.375000000000000,53.875000000000000,-127.125000000000000,53.625000000000000,1,3,113394,7115,4238,0.595643007730148
75,-127.375000000000000,53.625000000000000,-127.125000000000000,53.375000000000000,2,3,114062,7166,4269,0.595729835333519
