lat,lon,land
34,-109.25,TRUE
34,-109,TRUE
34,-108.75,TRUE
34,-108.5,TRUE
34,-108.25,TRUE
34,-108,TRUE
34,-107.75,TRUE
34,-107.5,TRUE
34,-107.25,TRUE
34,-107,TRUE
34,-106.75,TRUE
34,-106.5,TRUE
34,-106.25,TRUE
34,-106,TRUE
34,-105.75,TRUE
34,-105.5,TRUE
34,-105.25,TRUE
34,-105,TRUE
34,-104.75,TRUE
34,-104.5,TRUE
34,-104.25,TRUE
34,-104,TRUE
34.25,-119.25,TRUE
34.25,-119,TRUE
34.25,-118.75,TRUE
34.25,-118.5,TRUE
34.25,-118.25,TRUE
34.25,-118,TRUE
34.25,-117.75,TRUE
34.25,-117.5,TRUE
34.25,-117.25,TRUE
34.25,-117,TRUE
34.25,-116.75,TRUE
34.25,-116.5,TRUE
34.25,-116.25,TRUE
34.25,-116,TRUE
34.25,-115.75,TRUE
34.25,-115.5,TRUE
34.25,-115.25,TRUE
34.25,-115,TRUE
34.25,-114.75,TRUE
34.25,-114.5,TRUE
34.25,-114.25,TRUE
34.25,-114,TRUE
34.25,-113.75,TRUE
34.25,-113.5,TRUE
34.25,-113.25,TRUE
34.25,-113,TRUE
34.25,-112.75,TRUE
34.25,-112.5,TRUE
34.25,-112.25,TRUE
34.25,-112,TRUE
34.25,-111.75,TRUE
34.25,-111.5,TRUE
34.25,-111.25,TRUE
34.25,-111,TRUE
34.25,-110.75,TRUE
34.25,-110.5,TRUE
34.25,-110.25,TRUE
34.25,-110,TRUE
34.25,-109.75,TRUE
34.25,-109.5,TRUE
34.25,-109.25,TRUE
34.25,-109,TRUE
34.25,-108.75,TRUE
34.25,-108.5,TRUE
34.25,-108.25,TRUE
34.25,-108,TRUE
34.25,-107.75,TRUE
34.25,-107.5,TRUE
34.25,-107.25,TRUE
34.25,-107,TRUE
34.25,-106.75,TRUE
34.25,-106.5,TRUE
34.25,-106.25,TRUE
34.25,-106,TRUE
34.25,-105.75,TRUE
34.25,-105.5,TRUE
34.25,-105.25,TRUE
34.25,-105,TRUE
34.25,-104.75,TRUE
34.25,-104.5,TRUE
34.25,-104.25,TRUE
34.25,-104,TRUE
34.5,-120.5,TRUE
34.5,-120.25,TRUE
34.5,-120,TRUE
34.5,-119.75,TRUE
34.5,-119.5,TRUE
34.5,-119.25,TRUE
34.5,-119,TRUE
34.5,-118.75,TRUE
34.5,-118.5,TRUE
34.5,-118.25,TRUE
34.5,-118,TRUE
34.5,-117.75,TRUE
34.5,-117.5,TRUE
34.5,-117.25,TRUE
34.5,-117,TRUE
34.5,-116.75,TRUE
34.5,-116.5,TRUE
34.5,-116.25,TRUE
34.5,-116,TRUE
34.5,-115.75,TRUE
34.5,-115.5,TRUE
34.5,-115.25,TRUE
34.5,-115,TRUE
34.5,-114.75,TRUE
