clust_n,max_trap,sum_trap,num_y,max_year,ob,break_end,clust_lon,clust_lat
34,4.4,15,9,2014,breaks5,2022,-121.02183111566876,46.4413199521254
35,78.4,292.00000000000006,9,1982,breaks1,1989,-114.29650619596484,47.01953508728679
35,1.2,2.9999999999999996,9,1992,breaks2,1998,-114.29650619596484,47.01953508728679
35,12.8,20.2,7,2002,breaks3,2007,-114.29650619596484,47.01953508728679
37,15.8,46.8,6,1981,breaks1,1986,-117.31153443649116,45.66471285723855
37,33.2,45.6,9,1990,breaks2,1995,-117.31153443649116,45.66471285723855
37,5.2,14.4,9,2000,breaks3,2004,-117.31153443649116,45.66471285723855
37,4.4,5.800000000000001,9,2011,breaks4,2013,-117.31153443649116,45.66471285723855
37,6.6,19.400000000000002,9,2019,breaks5,2022,-117.31153443649116,45.66471285723855
38,2.4,3,5,1981,breaks1,1986,-119.29902165702812,44.34035102333163
38,12.8,17.9,9,1990,breaks2,1995,-119.29902165702812,44.34035102333163
38,71,209,9,1998,breaks3,2004,-119.29902165702812,44.34035102333163
38,49.6,117.60000000000001,9,2007,breaks4,2013,-119.29902165702812,44.34035102333163
38,19.8,56.599999999999994,8,2018,breaks5,2022,-119.29902165702812,44.34035102333163
39,4,11,3,2002,breaks3,2004,-121.54504682325565,51.077710335469085
39,18,65,9,2011,breaks4,2013,-121.54504682325565,51.077710335469085
39,8.1,25.400000000000006,9,2020,breaks5,2022,-121.54504682325565,51.077710335469085
40,17.2,36.2,8,1984,breaks1,1989,-120.78558343172242,39.30372961580111
40,47,149.4,9,1996,breaks2,1998,-120.78558343172242,39.30372961580111
40,58.2,275.95,9,2006,breaks3,2007,-120.78558343172242,39.30372961580111
40,70.25,257,9,2012,breaks4,2016,-120.78558343172242,39.30372961580111
40,1,1,1,2017,breaks5,2025,-120.78558343172242,39.30372961580111
41,1,2.1999999999999997,7,1982,breaks1,1986,-120.01710287889404,48.01703209495524
41,5.6,17.2,8,1992,breaks2,1995,-120.01710287889404,48.01703209495524
41,37.4,100.00000000000003,9,1998,breaks3,2004,-120.01710287889404,48.01703209495524
41,37.8,67.8,9,2009,breaks4,2013,-120.01710287889404,48.01703209495524
