State,breaks,break_end,keep,clust_n
CA,breaks5,2025,no,453
CA,breaks1,1989,no,463
CA,breaks2,1998,no,463
CA,breaks3,2007,yes,463
CA,breaks4,2016,no,463
CA,breaks5,2025,no,463
CO,breaks1,1984,no,116
CO,breaks2,1993,yes,116
CO,breaks3,2002,yes,116
CO,breaks4,2011,yes,116
CO,breaks5,2020,no,116
CO,breaks1,1984,no,204
CO,breaks2,1993,yes,204
CO,breaks3,2002,yes,204
CO,breaks4,2011,yes,204
CO,breaks5,2020,yes,204
CO,breaks1,NA,no,214
CO,breaks2,NA,no,214
CO,breaks3,NA,no,214
CO,breaks4,NA,no,214
CO,breaks5,NA,no,214
CO,breaks1,NA,no,285
CO,breaks2,NA,no,285
CO,breaks3,NA,no,285
CO,breaks4,NA,no,285
CO,breaks5,NA,no,285
CO,breaks1,1984,no,298
CO,breaks2,1993,yes,298
CO,breaks3,2002,yes,298
CO,breaks4,2011,yes,298
CO,breaks5,2020,no,298
CO,breaks1,1984,no,413
CO,breaks2,1993,yes,413
CO,breaks3,2002,no,413
CO,breaks4,2011,no,413
CO,breaks5,2020,no,413
CO,breaks1,NA,no,427
CO,breaks2,NA,no,427
CO,breaks3,NA,no,427
CO,breaks4,NA,no,427
CO,breaks5,NA,no,427
CO,breaks1,NA,no,431
CO,breaks2,NA,no,431
CO,breaks3,NA,no,431
CO,breaks4,NA,no,431
CO,breaks5,NA,no,431
CO,breaks1,NA,no,445
CO,breaks2,NA,no,445
CO,breaks3,NA,no,445
CO,breaks4,NA,no,445
CO,breaks5,NA,no,445
CO,breaks1,NA,no,446
CO,breaks2,NA,no,446
CO,breaks3,NA,no,446
CO,breaks4,NA,no,446
CO,breaks5,NA,no,446
CO,breaks1,NA,no,457
CO,breaks2,NA,no,457
CO,breaks3,NA,no,457
CO,breaks4,NA,no,457
CO,breaks5,NA,no,457
ID,breaks1,1988,yes,1
ID,breaks2,1997,yes,1
ID,breaks3,2006,yes,1
ID,breaks4,2015,yes,1
ID,breaks5,2024,yes,1
ID,breaks1,1987,yes,2
ID,breaks2,1996,yes,2
ID,breaks3,2005,yes,2
ID,breaks4,2014,yes,2
ID,breaks5,2023,yes,2
ID,breaks1,1987,yes,3
ID,breaks2,1996,yes,3
ID,breaks3,2005,yes,3
ID,breaks4,2014,yes,3
ID,breaks5,2023,yes,3
ID,breaks1,1987,no,12
ID,breaks2,1996,no,12
ID,breaks3,2005,yes,12
ID,breaks4,2014,yes,12
ID,breaks5,2023,yes,12
ID,breaks1,1987,no,13
ID,breaks2,1996,no,13
ID,breaks3,2005,yes,13
ID,breaks4,2014,yes,13
ID,breaks5,2023,yes,13
ID,breaks1,1987,yes,18
ID,breaks2,1996,yes,18
ID,breaks3,2005,yes,18
ID,breaks4,2014,yes,18
ID,breaks5,2023,yes,18
ID,breaks1,1987,yes,19
ID,breaks2,1996,yes,19
ID,breaks3,2005,yes,19
ID,breaks4,2014,yes,19
ID,breaks5,2023,yes,19
ID,breaks1,1987,yes,20
ID,breaks2,1996,yes,20
ID,breaks3,2005,yes,20
ID,breaks4,2014,yes,20
ID,breaks5,2023,yes,20
ID,breaks1,1987,yes,21
ID,breaks2,1996,yes,21
ID,breaks3,2005,yes,21
ID,breaks4,2014,yes,21
ID,breaks5,2023,yes,21
ID,breaks1,1987,yes,27
ID,breaks2,1996,yes,27
ID,breaks3,2005,yes,27
ID,breaks4,2014,yes,27
ID,breaks5,2023,yes,27
ID,breaks1,1987,yes,28
ID,breaks2,1996,yes,28
ID,breaks3,2005,yes,28
ID,breaks4,2014,no,28
ID,breaks5,2023,yes,28
ID,breaks1,1987,no,42
ID,breaks2,1996,no,42
ID,breaks3,2005,no,42
ID,breaks4,2014,no,42
ID,breaks5,2023,yes,42
ID,breaks1,1987,yes,44
ID,breaks2,1996,yes,44
ID,breaks3,2005,yes,44
ID,breaks4,2014,no,44
ID,breaks5,2023,no,44
ID,breaks1,1987,no,47
ID,breaks2,1996,no,47
ID,breaks3,2005,yes,47
ID,breaks4,2014,yes,47
ID,breaks5,2023,yes,47
ID,breaks1,1987,no,48
ID,breaks2,1996,yes,48
ID,breaks3,2005,yes,48
ID,breaks4,2014,no,48
ID,breaks5,2023,yes,48
ID,breaks1,1987,no,50
ID,breaks2,1996,yes,50
ID,breaks3,2005,yes,50
ID,breaks4,2014,no,50
ID,breaks5,2023,yes,50
ID,breaks1,1987,yes,74
ID,breaks2,1996,yes,74
ID,breaks3,2005,yes,74
ID,breaks4,2014,yes,74
ID,breaks5,2023,yes,74
ID,breaks1,1987,no,75
ID,breaks2,1996,no,75
ID,breaks3,2005,yes,75
ID,breaks4,2014,yes,75
ID,breaks5,2023,yes,75
ID,breaks1,1987,yes,76
ID,breaks2,1996,no,76
ID,breaks3,2005,no,76
ID,breaks4,2014,yes,76
ID,breaks5,2023,yes,76
ID,breaks1,1987,no,81
ID,breaks2,1996,yes,81
ID,breaks3,2005,yes,81
ID,breaks4,2014,no,81
ID,breaks5,2023,no,81
ID,breaks1,1987,no,82
ID,breaks2,1996,yes,82
ID,breaks3,2005,yes,82
ID,breaks4,2014,no,82
ID,breaks5,2023,no,82
ID,breaks1,1987,yes,83
ID,breaks2,1996,yes,83
ID,breaks3,2005,yes,83
ID,breaks4,2014,yes,83
ID,breaks5,2023,yes,83
ID,breaks1,1987,no,87
ID,breaks2,1996,yes,87
ID,breaks3,2005,yes,87
ID,breaks4,2014,no,87
ID,breaks5,2023,yes,87
ID,breaks1,1987,yes,91
ID,breaks2,1996,yes,91
ID,breaks3,2005,yes,91
ID,breaks4,2014,yes,91
ID,breaks5,2023,yes,91
ID,breaks1,1987,no,93
ID,breaks2,1996,yes,93
ID,breaks3,2005,yes,93
ID,breaks4,2014,yes,93
ID,breaks5,2023,yes,93
ID,breaks1,1987,yes,95
ID,breaks2,1996,yes,95
ID,breaks3,2005,yes,95
ID,breaks4,2014,no,95
ID,breaks5,2023,no,95
ID,breaks1,1987,no,115
ID,breaks2,1996,no,115
ID,breaks3,2005,no,115
ID,breaks4,2014,yes,115
ID,breaks5,2023,yes,115
ID,breaks1,1987,no,117
ID,breaks2,1996,no,117
ID,breaks3,2005,no,117
ID,breaks4,2014,no,117
ID,breaks5,2023,yes,117
ID,breaks1,1987,no,124
ID,breaks2,1996,no,124
ID,breaks3,2005,yes,124
ID,breaks4,2014,yes,124
ID,breaks5,2023,yes,124
ID,breaks1,1987,no,142
ID,breaks2,1996,yes,142
ID,breaks3,2005,yes,142
ID,breaks4,2014,no,142
ID,breaks5,2023,no,142
ID,breaks1,1987,no,143
ID,breaks2,1996,yes,143
ID,breaks3,2005,yes,143
ID,breaks4,2014,yes,143
ID,breaks5,2023,yes,143
ID,breaks1,1987,yes,164
ID,breaks2,1996,no,164
ID,breaks3,2005,no,164
ID,breaks4,2014,no,164
ID,breaks5,2023,no,164
ID,breaks1,1987,no,176
ID,breaks2,1996,no,176
ID,breaks3,2005,no,176
ID,breaks4,2014,no,176
ID,breaks5,2023,yes,176
ID,breaks1,1987,no,183
ID,breaks2,1996,no,183
ID,breaks3,2005,no,183
ID,breaks4,2014,no,183
ID,breaks5,2023,yes,183
ID,breaks1,1987,no,187
ID,breaks2,1996,yes,187
ID,breaks3,2005,yes,187
ID,breaks4,2014,no,187
ID,breaks5,2023,no,187
ID,breaks1,1987,no,193
ID,breaks2,1996,no,193
ID,breaks3,2005,yes,193
ID,breaks4,2014,yes,193
ID,breaks5,2023,yes,193
ID,breaks1,1987,yes,196
ID,breaks2,1996,yes,196
ID,breaks3,2005,yes,196
ID,breaks4,2014,yes,196
ID,breaks5,2023,yes,196
ID,breaks1,1987,no,202
ID,breaks2,1996,no,202
ID,breaks3,2005,yes,202
ID,breaks4,2014,yes,202
ID,breaks5,2023,yes,202
ID,breaks1,1987,no,216
ID,breaks2,1996,no,216
ID,breaks3,2005,yes,216
ID,breaks4,2014,yes,216
ID,breaks5,2023,yes,216
ID,breaks1,1987,yes,227
ID,breaks2,1996,no,227
ID,breaks3,2005,no,227
ID,breaks4,2014,no,227
ID,breaks5,2023,no,227
ID,breaks1,1987,no,236
ID,breaks2,1996,no,236
ID,breaks3,2005,yes,236
ID,breaks4,2014,yes,236
ID,breaks5,2023,yes,236
ID,breaks1,1987,yes,237
ID,breaks2,1996,no,237
ID,breaks3,2005,no,237
ID,breaks4,2014,no,237
ID,breaks5,2023,yes,237
ID,breaks1,1987,no,238
ID,breaks2,1996,no,238
ID,breaks3,2005,no,238
ID,breaks4,2014,yes,238
ID,breaks5,2023,yes,238
ID,breaks1,1987,yes,239
ID,breaks2,1996,yes,239
ID,breaks3,2005,yes,239
ID,breaks4,2014,no,239
ID,breaks5,2023,yes,239
ID,breaks1,1987,no,240
ID,breaks2,1996,no,240
ID,breaks3,2005,no,240
ID,breaks4,2014,no,240
ID,breaks5,2023,yes,240
ID,breaks1,1987,yes,252
ID,breaks2,1996,yes,252
ID,breaks3,2005,no,252
ID,breaks4,2014,no,252
ID,breaks5,2023,no,252
ID,breaks1,1987,yes,261
ID,breaks2,1996,yes,261
ID,breaks3,2005,yes,261
ID,breaks4,2014,no,261
ID,breaks5,2023,no,261
ID,breaks1,1987,no,266
ID,breaks2,1996,no,266
ID,breaks3,2005,yes,266
ID,breaks4,2014,yes,266
ID,breaks5,2023,yes,266
ID,breaks1,1987,no,267
ID,breaks2,1996,no,267
ID,breaks3,2005,no,267
ID,breaks4,2014,no,267
ID,breaks5,2023,yes,267
ID,breaks1,1987,no,286
ID,breaks2,1996,yes,286
ID,breaks3,2005,yes,286
ID,breaks4,2014,no,286
ID,breaks5,2023,no,286
ID,breaks1,1987,yes,297
ID,breaks2,1996,yes,297
ID,breaks3,2005,yes,297
ID,breaks4,2014,no,297
ID,breaks5,2023,no,297
ID,breaks1,1987,no,303
ID,breaks2,1996,yes,303
ID,breaks3,2005,yes,303
ID,breaks4,2014,no,303
ID,breaks5,2023,yes,303
ID,breaks1,1987,no,314
ID,breaks2,1996,no,314
ID,breaks3,2005,no,314
ID,breaks4,2014,yes,314
ID,breaks5,2023,yes,314
ID,breaks1,1987,no,317
ID,breaks2,1996,no,317
ID,breaks3,2005,yes,317
ID,breaks4,2014,yes,317
ID,breaks5,2023,yes,317
ID,breaks1,NA,no,318
ID,breaks2,NA,no,318
ID,breaks3,NA,no,318
ID,breaks4,NA,no,318
ID,breaks5,NA,no,318
ID,breaks1,1987,no,329
ID,breaks2,1996,yes,329
ID,breaks3,2005,yes,329
ID,breaks4,2014,no,329
ID,breaks5,2023,no,329
ID,breaks1,1987,no,332
ID,breaks2,1996,no,332
ID,breaks3,2005,no,332
ID,breaks4,2014,no,332
ID,breaks5,2023,yes,332
ID,breaks1,1987,yes,349
ID,breaks2,1996,yes,349
ID,breaks3,2005,yes,349
ID,breaks4,2014,yes,349
ID,breaks5,2023,yes,349
ID,breaks1,1987,yes,364
ID,breaks2,1996,yes,364
ID,breaks3,2005,no,364
ID,breaks4,2014,no,364
ID,breaks5,2023,yes,364
ID,breaks1,1987,no,366
ID,breaks2,1996,yes,366
ID,breaks3,2005,yes,366
ID,breaks4,2014,no,366
ID,breaks5,2023,no,366
ID,breaks1,1987,yes,385
ID,breaks2,1996,yes,385
ID,breaks3,2005,yes,385
ID,breaks4,2014,no,385
ID,breaks5,2023,yes,385
ID,breaks1,1987,yes,387
ID,breaks2,1996,yes,387
ID,breaks3,2005,yes,387
ID,breaks4,2014,yes,387
ID,breaks5,2023,yes,387
ID,breaks1,1987,no,414
ID,breaks2,1996,yes,414
ID,breaks3,2005,yes,414
ID,breaks4,2014,no,414
ID,breaks5,2023,no,414
ID,breaks1,1987,yes,418
ID,breaks2,1996,no,418
ID,breaks3,2005,no,418
ID,breaks4,2014,no,418
ID,breaks5,2023,yes,418
ID,breaks1,1987,no,419
ID,breaks2,1996,yes,419
ID,breaks3,2005,yes,419
ID,breaks4,2014,no,419
ID,breaks5,2023,no,419
ID,breaks1,NA,no,428
ID,breaks2,NA,no,428
ID,breaks3,NA,no,428
ID,breaks4,NA,no,428
ID,breaks5,NA,NA,428
ID,breaks1,1987,no,434
ID,breaks2,1996,yes,434
ID,breaks3,2005,yes,434
ID,breaks4,2014,no,434
ID,breaks5,2023,no,434
ID,breaks1,1987,yes,437
ID,breaks2,1996,yes,437
ID,breaks3,2005,yes,437
ID,breaks4,2014,no,437
ID,breaks5,2023,yes,437
