PlotName,State,manual_id,lat,lon,years_trapped,max_trap
Boyds,WA,931,48.71043,-118.12912,43,1
Braden_Hill,WA,1328,48.31786,-118.0722,23,5.8
Brennegan_Creek,WA,1099,47.88663,-120.40936,26,3.2
Brewer,WA,881,48.38556,-117.63167,15,12.6
Brewster,WA,939,48.16321,-119.83187,40,24.6
Bridge_Creek,OR,1622,42.98574,-121.24296,1,0
Bridge_Creek,WA,336,48.40217,-120.34944,35,20.2
Brigade Creek (added 2018),BC,3060,51.124014,-120.981853,5,2.3
Brockway,CA,1449,39.229148,-120.01192,3,0.6
Brown_Mtn_SO,WA,1359,48.53239,-118.68386,17,5.4
Browns Creek,ID,2045,45.072072,-116.260271,12,25.75
Browns Meadow,ID,2292,46.84654,-116.75819,24,97.6
Browns Pond,ID,2015,44.926275,-115.953624,4,11
Browns_Mtn,OR,1199,43.73825,-121.81515,22,3.6
Browns_Pass,WA,649,48.47014,-119.34786,38,32
Browns_Pass,WA,1744,48.4218,-119.3692,3,11.67
Bruce_Road,WA,950,47.73668,-117.29339,12,16.8
Brundage Mt Resort,ID,2048,45.006701,-116.156019,27,36.75
Brush_Creek,WA,1585,47.88257,-120.70279,3,6
Buck_Cr,OR,144,44.15083,-119.40639,42,40.6
Buck_Creek,OR,1621,42.99999,-121.3022,1,0
Buck_Meadows,WA,558,47.03611,-120.95694,32,0.8
Bull_Prairie,OR,356,44.98667,-119.6725,43,63.2
Bull_Prarie,OR,1591,42.28727,-120.20846,2,0.6
Bullfrog,WA,1132,47.19726,-121.01665,9,3
Bur.Of_Land_Mgt,OR,826,42.19318,-123.14275,7,0.4
Bur.Of_Land_Mgt,OR,833,42.2807,-122.59094,7,0
Burlington,CA,1299,39.31069,-120.764009,6,50.75
Burma Road,ID,2382,46.85608781,-116.0287911,4,64.8
Burney_Mtn.,CA,66,40.807,-121.627764,28,59.6
Burnside_Lake,NV,6414,NA,NA,9,0
Buse Lake,BC,4049,50.62685132000001,-120.0245249,6,14.5
Butcher_Creek,WA,575,47.79056,-120.79139,24,11.8
Butler_Creek,MT,40,46.967537,-114.040796,26,45.2
Butt_Mtn.,CA,797,40.217458,-121.38533,25,57.6
Buzzard_Lake,WA,918,48.41994,-119.71114,40,20.8
CDA Nursery 1,ID,2401,47.718079,-116.826309,5,9.25
CDA Nursery 2,ID,2402,47.717385,-116.817886,5,13
C_Bird_Cr_K-2000,WA,1170,46.04475,-121.39053,27,13.6
C_Camp_7,WA,1179,46.02278,-121.22941,7,18.8
C_Camp_7,WA,1180,46.02275,-121.20882,5,21.2
C_Camp_7,WA,1181,46.02275,-121.20882,7,24.4
C_Camp_Draper,WA,1177,46.00762,-121.43755,7,23.6
C_Camp_Draper_1,WA,1178,46.00787,-121.37519,7,8
C_Chanel_Rd_235,WA,1192,45.9791,-121.22951,5,12
C_Chanel_Rd_236,WA,1193,45.96454,-121.20871,5,36
C_E_Summit_Cr,WA,1173,46.02099,-120.99715,5,44
C_East_Wahkacus,WA,1182,46.00771,-121.14484,7,19.6
C_East_Willis,WA,1184,46.00775,-121.18806,7,7
C_Grayback_Mt.,WA,1186,45.99279,-121.06112,5,84.2
C_Holmes_Cr,WA,1187,45.99313,-121.43775,5,26.2
C_Holmes_Cr_2,WA,1188,45.96434,-121.4167,5,9.6
C_M_1,WA,1189,46.02252,-121.37555,3,1.4
C_M_2,WA,1190,46.02252,-121.37555,2,5.6
C_M_3,WA,1191,46.02252,-121.37555,7,12.6
C_North_Plateau,WA,1175,45.97888,-121.14621,7,25
C_Plateau,WA,1174,45.99295,-121.18799,7,17.4
C_Summit_Cr_604,WA,1171,46.00671,-121.10112,5,15.6
C_Trout_Lake,WA,1169,45.96354,-121.37433,28,31.6
C_Truck_Stop,WA,1168,45.97896,-121.12377,7,16.4
C_W_Summit_Cr,WA,1172,46.03551,-120.9974,5,15.2
C_Wahkacus,WA,1183,46.00706,-121.12238,7,22.2
C_West_Plateau,WA,1176,45.94928,-121.12493,7,14.4
C_West_Willis,WA,1185,46.00775,-121.18806,7,12.4
Cabin,WA,1461,47.21277,-121.29117,1,0
Cabin Creek,ID,2065,44.650888,-116.281354,12,52.6
Cabin_Creek,WA,1153,47.23099,-121.22252,26,6
Cable_Creek,OR,372,45.07639,-118.72083,12,0.2
Cable_Crk.,OR,1516,45.0484,-118.68648,1,0
Calamity,OR,1559,43.93865,-118.82693,4,2.8
Calimus,OR,1023,42.63,-121.55778,1,1.4
