State,clust_n,breaks
NM,272,breaks1
NM,272,breaks2
NM,272,breaks3
NM,272,breaks4
NM,272,breaks5
NM,360,breaks1
NM,360,breaks2
NM,360,breaks3
NM,360,breaks4
NM,360,breaks5
NM,432,breaks1
NM,432,breaks2
NM,432,breaks3
NM,432,breaks4
NM,432,breaks5
NM,465,breaks1
NM,465,breaks2
NM,465,breaks3
NM,465,breaks4
NM,465,breaks5
NV,110,breaks1
NV,110,breaks2
NV,110,breaks3
NV,110,breaks4
NV,110,breaks5
NV,275,breaks1
NV,275,breaks2
NV,275,breaks3
NV,275,breaks4
NV,275,breaks5
NV,331,breaks1
NV,331,breaks2
NV,331,breaks3
NV,331,breaks4
NV,331,breaks5
NV,384,breaks1
NV,384,breaks2
NV,384,breaks3
NV,384,breaks4
NV,384,breaks5
NV,399,breaks1
NV,399,breaks2
NV,399,breaks3
NV,399,breaks4
NV,399,breaks5
NV,460,breaks1
NV,460,breaks2
NV,460,breaks3
NV,460,breaks4
NV,460,breaks5
OR,16,breaks1
OR,16,breaks2
OR,16,breaks3
OR,16,breaks4
OR,16,breaks5
OR,23,breaks1
OR,23,breaks2
OR,23,breaks3
OR,23,breaks4
OR,23,breaks5
OR,24,breaks1
OR,24,breaks2
OR,24,breaks3
OR,24,breaks4
OR,24,breaks5
OR,30,breaks1
OR,30,breaks2
OR,30,breaks3
OR,30,breaks4
OR,30,breaks5
OR,31,breaks1
OR,31,breaks2
OR,31,breaks3
OR,31,breaks4
OR,31,breaks5
OR,36,breaks1
OR,36,breaks2
OR,36,breaks3
OR,36,breaks4
OR,36,breaks5
OR,37,breaks1
OR,37,breaks2
OR,37,breaks3
OR,37,breaks4
OR,37,breaks5
OR,38,breaks1
OR,38,breaks2
OR,38,breaks3
OR,38,breaks4
OR,38,breaks5
OR,43,breaks1
OR,43,breaks2
OR,43,breaks3
OR,43,breaks4
OR,43,breaks5
OR,45,breaks1
OR,45,breaks2
OR,45,breaks3
OR,45,breaks4
OR,45,breaks5
OR,49,breaks1
OR,49,breaks2
OR,49,breaks3
OR,49,breaks4
OR,49,breaks5
OR,51,breaks1
OR,51,breaks2
OR,51,breaks3
OR,51,breaks4
OR,51,breaks5
OR,52,breaks1
OR,52,breaks2
OR,52,breaks3
OR,52,breaks4
OR,52,breaks5
OR,59,breaks1
OR,59,breaks2
OR,59,breaks3
OR,59,breaks4
OR,59,breaks5
OR,65,breaks1
