area_meters,area_km,year,num,type,lon_cent,lat_cent,manual_id
32591.938195228577,0.03259193819522858,2006,NA,not to break,-106.40960342845342,37.94066462173592,5685
17637.171240266412,0.01763717124026641,2006,NA,not to break,-105.24736843835552,39.55161442112604,5686
24065.557337261736,0.02406555733726173,2006,NA,not to break,-105.25647034936244,39.556712828999714,5687
139329.70945711603,0.13932970945711604,2006,NA,not to break,-105.24186042170824,39.56792781381785,5688
21185.08912751802,0.02118508912751801,2006,NA,not to break,-105.22951967667582,39.58776858211369,5689
113766.77107443372,0.11376677107443373,2006,NA,not to break,-105.23922524480078,39.603151676626474,5690
34363.906117280945,0.03436390611728095,2006,NA,not to break,-105.24127060209202,39.605970002309874,5691
1727019.8710843325,1.7270198710843323,2006,NA,not to break,-114.38689956840922,43.58692141730783,5692
58236.14019848779,0.05823614019848779,2006,NA,not to break,-114.38975257002971,43.60281868147994,5693
721436.3370001167,0.7214363370001167,2006,NA,not to break,-114.3739417377492,43.60590481817351,5694
64513.97102454305,0.06451397102454305,2006,NA,not to break,-114.37209628149304,43.61498014175547,5695
159482.97228258848,0.15948297228258848,2006,NA,not to break,-114.36395364056268,43.61900833922758,5696
2591285.9032536168,2.591285903253617,2006,NA,not to break,-114.37827513284354,43.6297107016794,5697
1788734.4101280223,1.7887344101280225,2006,NA,not to break,-114.37866729959512,43.64933478396674,5698
1265435.634535566,1.265435634535566,2006,NA,not to break,-114.3696376416754,43.66146016045541,5699
75113.73436811008,0.07511373436811007,2006,NA,not to break,-114.39088012543944,43.66773771579297,5700
92542.31701800972,0.09254231701800972,2006,NA,not to break,-110.85111966923084,45.61201504335916,5701
1992674.6306008175,1.9926746306008176,2007,NA,not to break,-119.43859572521382,37.31964817437898,5702
251701.05875627697,0.25170105875627696,2007,NA,not to break,-119.694643558886,37.45632260783623,5703
7677109.064197823,7.677109064197824,2007,NA,not to break,-119.5836104501498,37.456688794046464,5704
1532201.1740113944,1.5322011740113943,2007,NA,not to break,-119.68825539807786,37.47536206850539,5705
303850.38367847924,0.3038503836784792,2007,NA,not to break,-119.66978895337756,37.61164618999324,5706
467289.48155142367,0.4672894815514237,2007,NA,not to break,-119.69824831309477,37.656384073386135,5707
222285.4769187421,0.2222854769187421,2007,NA,not to break,-119.96191159665368,38.06361318744879,5708
78928.91688933782,0.07892891688933783,2007,NA,not to break,-121.70972815676284,41.15602921874334,5709
662013.9929943844,0.6620139929943843,2007,NA,not to break,-121.7819132005136,41.188216248331166,5710
2423056.146448372,2.423056146448372,2007,NA,not to break,-121.7737250525828,41.221130625127586,5711
217310.68607848257,0.21731068607848253,2007,NA,not to break,-121.75838455203235,41.22547542741344,5712
296769.0230139196,0.2967690230139196,2007,NA,not to break,-121.77980865262296,41.23777549023351,5713
723486.1331780776,0.7234861331780776,2007,NA,not to break,-121.73563005828667,41.243189889164505,5714
82935.65163678676,0.08293565163678676,2007,NA,not to break,-121.75144809512682,41.24582208878607,5715
177190.55129959062,0.1771905512995906,2007,NA,not to break,-121.71045759833312,41.26178268545427,5716
1326784.5471680202,1.3267845471680202,2007,NA,not to break,-121.78083245776834,41.264367390534574,5717
1719642.647939086,1.719642647939086,2007,NA,not to break,-121.7360463477042,41.26879278122231,5718
102928.49512891471,0.10292849512891472,2007,NA,not to break,-121.7066146078066,41.26870088662754,5719
1330594.0658862705,1.3305940658862705,2007,NA,not to break,-121.74930994504922,41.272443204815126,5720
263251.42629775405,0.26325142629775405,2007,NA,not to break,-121.69582607567963,41.28749479850069,5721
203129.85864187777,0.20312985864187777,2007,NA,not to break,-121.69609391346935,41.30859496149422,5722
1374002.887628805,1.3740028876288048,2007,NA,not to break,-121.8074454045534,41.31614107671841,5723
