df_id,lat_site,lon_site,mean_biomass,max_biomass,mean_cover
10195,50.4,-121.55,92.40397350993379,255,76.08830022075057
10196,50.4,-121.525,98.83407079646017,255,73.49557522123894
10197,50.4,-121.5,97.9801762114537,255,68.7907488986784
10198,50.4,-121.475,99.57488986784149,255,70.26872246696038
10199,50.4,-121.45,89.0199115044248,255,65.48893805309736
102,49,-120.475,23.739910313901294,252,69.37668161434979
1020,49.125,-120.15,119.77262693156737,255,81.91169977924947
10200,50.4,-121.425,68.38852097130238,255,50.44370860927147
10201,50.4,-121.4,46.420224719101164,221,31.66741573033714
10202,50.4,-121.375,42.62913907284777,252,26.18543046357613
10203,50.4,-121.35,45.94026548672563,252,30.081858407079594
10204,50.4,-121.325,45.76535087719311,252,31.20614035087713
10205,50.4,-121.3,44.704845814978,252,27.4185022026432
10206,50.4,-121.275,47.7224669603524,191,27.4251101321586
10207,50.4,-121.25,56.51230425055928,252,34.51901565995532
10208,50.4,-121.225,77.81015452538632,252,51.74834437086087
10209,50.4,-121.2,77.83185840707968,252,67.26769911504425
1021,49.125,-120.125,122.39072847682128,255,78.7306843267109
10210,50.4,-121.175,60.68942731277535,210,80.05286343612339
10211,50.4,-121.15,46.96688741721853,255,85.22516556291393
10212,50.4,-121.125,60.068736141906896,255,85.22394678492239
10213,50.4,-121.1,71.55066079295152,255,77.2533039647577
10214,50.4,-121.075,68.2935982339956,255,72.67108167770417
10215,50.4,-121.05,68.46784922394676,255,76.43902439024386
10216,50.4,-121.025,67.4756637168142,255,78.27433628318582
10217,50.4,-121,59.02422907488987,255,81.19603524229079
10218,50.4,-120.975,47.53863134657837,255,82.60264900662251
10219,50.4,-120.95,31.132450331125828,188,80.07064017660046
1022,49.125,-120.1,114.73951434878587,252,75.32671081677698
10220,50.4,-120.925,36.313465783664455,190,71.62913907284768
10221,50.4,-120.9,37.519823788546255,190,67.2863436123348
10222,50.4,-120.875,57.199115044247804,252,68.39159292035397
10223,50.4,-120.85,71.00443458980044,252,67.29933481152996
10224,50.4,-120.825,77.413870246085,252,58.789709172259485
10225,50.4,-120.8,78.79867256637162,255,55.56194690265486
10226,50.4,-120.775,96.11504424778764,255,61.422566371681434
10227,50.4,-120.75,114.68432671081668,255,78.59602649006624
10228,50.4,-120.725,109.23230088495569,255,84.10176991150442
10229,50.4,-120.7,77.87196467991161,255,81.31125827814569
1023,49.125,-120.075,100.53964757709255,255,70.6607929515418
10230,50.4,-120.675,49.67991169977923,255,76.83002207505518
10231,50.4,-120.65,33.7692307692308,192,72.19340659340658
10232,50.4,-120.625,51.75938189845482,252,74.32671081677705
10233,50.4,-120.6,65.1655629139072,255,75.83222958057392
10234,50.4,-120.575,69.33112582781462,255,77.73289183222957
10235,50.4,-120.55,62.70860927152321,252,70.60264900662258
10236,50.4,-120.525,64.83185840707972,255,64.42256637168133
10237,50.4,-120.5,70.16299559471359,255,67.13876651982366
10238,50.4,-120.475,80.91428571428578,255,75.46373626373624
10239,50.4,-120.45,80.97566371681417,255,77.38716814159291
1024,49.125,-120.05,83.91629955947126,255,65.51762114537439
10240,50.4,-120.425,67.67770419426046,221,57.78807947019867
10241,50.4,-120.4,48.3458149779736,221,37.370044052863534
10242,50.4,-120.375,26.4361233480176,197,18.356828193832648
10243,50.4,-120.35,8.9579646017699,195,5.0619469026548565
10244,50.4,-120.325,4.666666666666664,191,2.333333333333335
