lat,lon,Cropland,Mixed Forest,No data,Temperate or sub-polar broadleaf deciduous forest,Temperate or sub-polar needleleaf forest,Temperate or sub-polar shrubland,Urban and Built-up,Water,Wetland,Temperate or sub-polar grassland,Barren Lands,Snow and Ice,Sub-polar or polar grassland-lichen-moss,Sub-polar or polar barren-lichen-moss,Sub-polar taiga needleleaf forest,near_needle
49,-121.875,0.5536139793486894,NA,NA,0.08260524225575853,NA,0.12152501985702939,0.06036536934074663,NA,0.07148530579825259,0.09293089753772836,0.017474185861795076,NA,NA,NA,NA,FALSE
49,-121.85,0.48610007942811756,NA,NA,0.054011119936457505,NA,0.14614773629864972,0.04130262112787927,NA,0.10405083399523431,0.13343923749007147,0.03494837172359015,NA,NA,NA,NA,FALSE
49,-121.825,0.4171974522292994,0.012738853503184714,NA,0.19506369426751594,0.06847133757961783,0.007165605095541401,0.13853503184713375,0.13136942675159236,0.011146496815286623,0.018312101910828025,NA,NA,NA,NA,NA,TRUE
49,-121.8,NA,0.008750994431185362,NA,NA,0.9729514717581543,0.010342084327764518,NA,NA,0.007955449482895784,NA,NA,NA,NA,NA,NA,TRUE
49,-121.775,0.020684168655529037,NA,NA,NA,0.7939538583929993,0.16308671439936356,0.003977724741447892,NA,NA,NA,0.010342084327764518,0.007955449482895784,NA,NA,NA,TRUE
49,-121.75,NA,0.008744038155802861,NA,NA,0.9737678855325914,0.009538950715421303,NA,NA,0.00794912559618442,NA,NA,NA,NA,NA,NA,TRUE
49,-121.725,0.3078149920255183,NA,NA,0.05422647527910686,NA,0.14912280701754385,0.34210526315789475,NA,0.11244019138755981,0.03110047846889952,0.003189792663476874,NA,NA,NA,NA,FALSE
49,-121.7,0.048451151707704525,0.1397934868943606,NA,0.23193010325655283,0.38204924543288327,0.17474185861795075,NA,NA,0.023034154090548053,NA,NA,NA,NA,NA,NA,TRUE
49,-121.675,NA,NA,NA,NA,0.7988826815642458,0.027932960893854747,NA,0.16600159616919394,0.0031923383878691143,0.0039904229848363925,NA,NA,NA,NA,NA,TRUE
49,-121.65,0.01751592356687898,NA,NA,NA,0.7117834394904459,0.1536624203821656,0.003980891719745223,0.004777070063694267,NA,0.003980891719745223,0.08359872611464968,0.020700636942675158,NA,NA,NA,TRUE
49,-121.625,0.5550239234449761,0.008771929824561403,NA,0.13078149920255183,0.11961722488038277,0.007974481658692184,7.974481658692185e-4,0.1594896331738437,0.004784688995215311,0.003987240829346092,0.003987240829346092,NA,NA,0.004784688995215311,NA,TRUE
49,-121.6,0.6499202551834131,0.03588516746411483,NA,0.1283891547049442,0.09011164274322168,0.011961722488038277,0.028708133971291867,NA,0.0430622009569378,0.011961722488038277,NA,NA,NA,NA,NA,TRUE
49,-121.575,NA,NA,NA,0.026232114467408585,0.6621621621621622,0.28696343402225755,NA,NA,NA,0.0246422893481717,NA,NA,NA,NA,NA,TRUE
49,-121.55,0.00870942201108472,NA,NA,NA,0.768012668250198,0.11243072050673,NA,0.007125890736342043,NA,NA,0.05938242280285035,0.04433887569279493,NA,NA,NA,TRUE
49,-121.525,NA,0.006374501992031873,NA,NA,0.8199203187250996,0.062151394422310755,NA,NA,NA,0.013545816733067729,0.062151394422310755,0.035856573705179286,NA,NA,NA,TRUE
49,-121.5,0.1478537360890302,0.18441971383147854,NA,0.19236883942766295,0.30445151033386325,0.13513513513513514,NA,NA,0.03577106518282989,NA,NA,NA,NA,NA,NA,TRUE
49,-121.475,NA,NA,NA,7.968127490039841e-4,0.8812749003984064,0.11314741035856574,NA,NA,NA,0.004780876494023904,NA,NA,NA,NA,NA,TRUE
49,-121.45,0.060654429369513166,0.07182761372705507,NA,0.2745411013567438,0.5075818036711891,0.040702314445331206,NA,0.024740622505985636,0.019952114924181964,NA,NA,NA,NA,NA,NA,TRUE
49,-121.425,0.026232114467408585,NA,NA,0.00397456279809221,0.3449920508744038,0.4642289348171701,0.008744038155802861,NA,0.007154213036565978,0.14467408585055644,NA,NA,NA,NA,NA,TRUE
49,-121.4,0.020750199521149242,0.03671189146049481,NA,0.13647246608140462,0.6185155626496409,0.10135674381484437,0.0111731843575419,0.07501995211492418,NA,NA,NA,NA,NA,NA,NA,TRUE
49,-121.375,NA,NA,NA,0.016719745222929936,0.5589171974522293,0.3335987261146497,NA,NA,NA,0.046974522292993634,NA,NA,0.04378980891719745,NA,NA,TRUE
49,-121.35,NA,0.003194888178913738,NA,NA,0.9472843450479234,0.04153354632587859,NA,NA,NA,0.007987220447284345,NA,NA,NA,NA,NA,TRUE
49,-121.325,NA,0.007980845969672785,NA,0.0015961691939345571,0.94972067039106145,0.017557861133280128,0.0111731843575419,0.011971268954509178,NA,NA,NA,NA,NA,NA,NA,TRUE
49,-121.3,NA,NA,NA,NA,0.848966613672496,0.10731319554848967,NA,NA,NA,0.016693163751987282,0.023052464228934817,0.00397456279809221,NA,NA,NA,TRUE
49,-121.275,0.006339144215530904,NA,NA,NA,0.8129952456418383,0.08003169572107766,NA,0.0071315372424722665,NA,NA,0.05388272583201268,0.039619651347068144,NA,NA,NA,TRUE
49,-121.25,NA,NA,NA,0.012728719172633254,0.7796340493237868,0.14081145584725538,NA,0.04136833731105807,0.0031821797931583136,0.022275258552108195,NA,NA,NA,NA,NA,TRUE
